nama_tempat_wisata;kategori;rating;kabupaten_kota;jumlah_rating; htm domestik ; htm internasional ;jarak (km)
Toya Devasya Geopark Resort & Villas;Rekreasi;4,1;Kabupaten Bangli;8829;Rp85.000;Rp195.000;80
Sangeh Monkey Forest;Alam;4,6;Kabupaten Badung;8672;Rp15.000;Rp75.000;36
Monumen Tragedi Kemanusiaan;Budaya;4,6;Kabupaten Badung;8411;Rp0;Rp0;7
GWK Festival Park;Rekreasi;4,7;Kabupaten Badung;7977;Rp150.000;Rp150.000;12
Pantai Batu Bolong;Alam;4,5;Kabupaten Badung;7935;Rp0;Rp0;21
Broken Beach;Alam;4,6;Kabupaten Klungkung;7417;Rp0;Rp0;80
Taman Beji Griya Waterfall Temple;Alam;4,5;Kabupaten Badung;7116;Rp200.000;Rp400.000;37
Pelabuhan SANUR;Alam;4,2;Kota Denpasar;7080;Rp0;Rp0;21
Lapangan Niti Mandala Renon - Monumen Perjuangan Rakyat Bali;Budaya;4,7;Kota Denpasar;6775;Rp0;Rp0;16
Kanto Lampo Waterfall;Alam;4,3;Kabupaten Gianyar;6664;Rp25.000;Rp25.000;42
Jembatan kaca Bali Tegenungan /Bali Glass Bridge Main entrance;Rekreasi;4,9;Kabupaten Gianyar;6631;Rp100.000;Rp250.000;32
Pantai Karang;Alam;4,6;Kota Denpasar;6559;Rp0;Rp0;18
Big Garden Corner;Alam;4,3;Kota Denpasar;6380;Rp50.000;Rp150.000;19
Pura Goa Lawah;Alam;4,6;Kabupaten Klungkung;6238;Rp15.000;Rp25.000;48
Taman Kota Singaraja;Rekreasi;4,5;Kabupaten Buleleng;5838;Rp0;Rp0;93
Trans Studio Theme Park Bali;Rekreasi;4,5;Kota Denpasar;5832;Rp275.000;Rp600.000;7
Pasar Seni Guwang;Rekreasi;4,3;Kabupaten Gianyar;5700;Rp0;Rp0;28
Crystal Bay Beach;Alam;4,3;Kabupaten Klungkung;5581;Rp0;Rp0;89
Secret Garden Village;Alam;4,6;Kabupaten Badung;5490;Rp50.000;Rp100.000;50
Pasar Tradisional Bedugul;Rekreasi;4,2;Kabupaten Tabanan;5481;Rp0;Rp0;63
Angel's Billabong;Alam;4,5;Kabupaten Klungkung;5450;Rp10.000;Rp10.000;86
KUBER BALI ADVENTURE;Rekreasi;4,7;Kabupaten Gianyar;5402;Rp850.000;Rp850.000;44
Bali Handara Gate;Budaya;3,8;Kabupaten Buleleng;5202;Rp30.000;Rp50.000;67
Banyumala Waterfall;Alam;4,8;Kabupaten Buleleng;5199;Rp25.000;Rp50.000;77
Blue Lagoon Beach;Alam;4,2;Kabupaten Karangasem;5192;Rp15.000;Rp15.000;57
The Blooms;Rekreasi;4,6;Kabupaten Tabanan;5136;Rp30.000;Rp30.000;62
Pura Taman Kemuda Saraswati;Rekreasi;4,2;Kabupaten Gianyar;5009;Rp35.000;Rp60.000;38
Tukad cepung waterfall;Alam;4,6;Kabupaten Gianyar;4942;Rp30.000;Rp35.000;53
Pantai Petitenget;Alam;4,5;Kabupaten Badung;4487;Rp0;Rp0;13
Patung Satria Gatot Kaca;Budaya;4,6;Kabupaten Badung;4306;Rp0;Rp0;2
Pasar Seni Kumbasari;Rekreasi;4,4;Kota Denpasar;4290;Rp0;Rp0;16
Krisna Funtasticland;Rekreasi;4,3;Kabupaten Buleleng;4241;Rp105.000;Rp250.000;95
Pura Puseh Desa Batuan;Budaya;4,5;Kabupaten Gianyar;4197;Rp50.000;Rp50.000;32
Lapangan Puputan Renon;Rekreasi;4,6;Kota Denpasar;4162;Rp0;Rp0;17
Pantai Batu Belig;Alam;4,5;Kabupaten Badung;4156;Rp0;Rp0;14
Upside Down World Bali;Rekreasi;4,2;Kota Denpasar;4093;Rp100.000;Rp100.000;8
Pemandian Air Panas Banjar;Alam;4,3;Kabupaten Buleleng;4032;Rp15.000;Rp45.000;97
Blue Lagoon Nusa Ceningan;Alam;4,7;Kabupaten Klungkung;3955;Rp0;Rp0;85
Lapangan Puputan Badung (I Gusti Ngurah Made Agung);Rekreasi;4,7;Kota Denpasar;3909;Rp0;Rp0;15
Nusa Penida Tour - Atuh Beach;Alam;4,6;Kabupaten Klungkung;3876;Rp0;Rp0;92
Aling-Aling Waterfall;Alam;4,6;Kabupaten Buleleng;3793;Rp20.000;Rp20.000;93
Gitgit Waterfall;Alam;4,3;Kabupaten Buleleng;3791;Rp15.000;Rp45.000;82
Puja Mandala Worship Complex;Budaya;4,7;Kabupaten Badung;3578;Rp0;Rp0;12
Pantai Matahari Terbit Sanur;Alam;4,6;Kota Denpasar;3567;Rp0;Rp0;21
Pasar Sindu;Rekreasi;4,4;Kota Denpasar;3494;Rp0;Rp0;16
Pura Ulun Danu Batur;Budaya;4,5;Kabupaten Bangli;3487;Rp30.000;Rp50.000;68
Objek Wisata Kerta Gosa;Budaya;4,5;Kabupaten Klungkung;3482;Rp25.000;Rp50.000;44
Tanjung Benoa Watersports;Alam;4,5;Kabupaten Badung;3417;Rp0;Rp0;16
Tanjung Benoa Beach;Alam;4,5;Kabupaten Badung;3381;Rp0;Rp0;16
Air Terjun Leke Leke;Alam;4,5;Kabupaten Badung;3357;Rp50.000;Rp50.000;51
Kolam renang Citraland;Rekreasi;4,4;Kota Denpasar;3337;Rp50.000;Rp50.000;18
Alun-Alun Kota Gianyar;Rekreasi;4,5;Kabupaten Gianyar;3279;Rp0;Rp0;41
Virgin Beach, Karangasem, Bali;Alam;4,6;Kabupaten Karangasem;3277;Rp10.000;Rp25.000;73
The SILA'S Agrotourism;Rekreasi;4,5;Kabupaten Tabanan;3246;Rp20.000;Rp20.000;63
JEMBATAN KACA BALI BLANGSINGA;Rekreasi;4,8;Kabupaten Gianyar;3239;Rp150.000;Rp250.000;35
Museum Bali;Budaya;4,3;Kota Denpasar;3223;Rp10.000;Rp100.000;15
Pura Gunung Kawi Sebatu;Alam;4,7;Kabupaten Gianyar;3184;Rp30.000;Rp50.000;53
Pasar Seni Ubud;Budaya;4;Kabupaten Gianyar;3169;Rp0;Rp0;38
Taman Nasional Bali Barat;Rekreasi;4,4;Kota Denpasar;3137;Rp30.000;Rp200.000;142
Pasar Umum Klungkung;Budaya;4,5;Kabupaten Klungkung;3122;Rp0;Rp0;44
Hidden Mini Zoo Bali;Rekreasi;4,8;Kabupaten Gianyar;3044;Rp110.000;Rp250.000;28
The Flea Market Seminyak Bali;Budaya;3,7;Kabupaten Badung;3037;Rp0;Rp0;12
BaliHiddenCanyon.com;Alam;4,5;Kabupaten Gianyar;3028;Rp100.000;Rp300.000;29
Bali Tarantula Adventure - ATV , RAFTING AND SWING;Rekreasi;4,8;Kabupaten Badung;2975;Rp300.000;Rp600.000;34
Kawasan Wisata Ex. Pelabuhan Buleleng;Alam;4,3;Kabupaten Buleleng;2906;Rp5.000;Rp5.000;94
Taman Pancing;Rekreasi;4,4;Kota Denpasar;2830;Rp0;Rp0;10
Taman Edelweis Bali;Rekreasi;4,5;Kabupaten Karangasem;2813;Rp30.000;Rp50.000;67
Bali Farm House;Rekreasi;4,5;Kabupaten Buleleng;2796;Rp125.000;Rp125.000;68
Nuanu;Rekreasi;4,4;Kabupaten Tabanan;2767;Rp50.000;Rp75.000;27
Taman Mumbul Sangeh;Rekreasi;4,6;Kabupaten Badung;2750;Rp10.000;Rp45.000;36
Pantai Gunung Payung;Alam;4,6;Kabupaten Badung;2727;Rp10.000;Rp20.000;20
Pantai Tanah Barak;Alam;4,6;Kabupaten Badung;2684;Rp30.000;Rp30.000;17
Pantai Wates Karangasem;Alam;4,4;Kabupaten Klungkung;2679;Rp0;Rp0;50
Alas Kedaton;Alam;4,2;Kabupaten Tabanan;2633;Rp20.000;Rp20.000;34
Tibumana Waterfall;Alam;4,6;Kabupaten Bangli;2602;Rp20.000;Rp25.000;47
Mupu Rice Terrace;Alam;4,9;Kabupaten Gianyar;2515;Rp25.000;Rp25.000;49
Raja Lima/Rumah Pohon Molenteng Nusa Penida;Alam;4,5;Kabupaten Klungkung;2450;Rp50.000;Rp75.000;93
Pura Luhur Batukaru;Budaya;4,8;Kabupaten Tabanan;2415;Rp40.000;Rp50.000;55
Patung Bayi;Budaya;4,6;Kabupaten Gianyar;2408;Rp0;Rp0;34
Pererenan Beach;Alam;4,6;Kabupaten Badung;2363;Rp0;Rp0;22
ATV Ubud Bali ATVUBUD.ID;Rekreasi;4,7;Kabupaten Gianyar;2354;Rp350.000;Rp350.000;33
Desa Budaya Kertalangu;Rekreasi;4,3;Kota Denpasar;2338;Rp0;Rp0;21
Vihara Satya Dharma;Budaya;4,8;Kota Denpasar;2325;Rp0;Rp0;8
Pantai Sanur;Alam;4,6;Kota Denpasar;2325;Rp0;Rp0;17
Balangan Beach;Alam;4,5;Kabupaten Badung;2227;Rp0;Rp0;18
Rest Area Yeh Leh Beach;Alam;4,6;Kabupaten Tabanan;2207;Rp5.000;Rp5.000;68
Museum Puri Lukisan;Budaya;4,4;Kabupaten Gianyar;2195;Rp95.000;Rp95.000;38
Mount Batur View Point;Alam;4,7;Kabupaten Bangli;2163;Rp0;Rp0;72
Sekumpul waterfall;Alam;4,3;Kabupaten Buleleng;2134;Rp10.000;Rp20.000;90
Puncak Wanagiri;Alam;4,6;Kabupaten Buleleng;2133;Rp20.000;Rp20.000;70
Gembleng Waterfall;Alam;4,7;Kabupaten Badung;2132;Rp20.000;Rp50.000;57
The Blanco Renaissance Museum;Budaya;4,3;Kabupaten Gianyar;2097;Rp55.000;Rp100.000;39
Museum Geopark Batur;Alam;4,6;Kabupaten Bangli;2083;Rp10.000;Rp50.000;71
Pantai Double - Six;Alam;4,7;Kota Denpasar;2038;Rp0;Rp0;8,4
Pura Goa Giri Putri;Alam;4,5;Kabupaten Klungkung;2037;Rp50.000;Rp50.000;79
Air Terjun Nungnung;Alam;4,7;Kabupaten Badung;2034;Rp15.000;Rp30.000;56
Pantai Mengening;Alam;4,7;Kabupaten Badung;2025;Rp0;Rp0;24
Bali Wake Park & Aqualand;Rekreasi;4,4;Kota Denpasar;1961;Rp200.000;Rp400.000;8
Patung Titi Banda;Budaya;4,6;Kota Denpasar;1941;Rp0;Rp0;21
Wanagiri Hidden Hill Bali;Alam;4,4;Kabupaten Buleleng;1937;Rp150.000;Rp150.000;77
Pantai Segara Ayu;Alam;4,5;Kota Denpasar;1914;Rp0;Rp0;17
Tembeling Beach and Forest;Alam;4,5;Kabupaten Klungkung;1911;Rp10.000;Rp10.000;88
Swing Heaven;Rekreasi;4,6;Kabupaten Badung;1904;Rp530.000;Rp530.000;34
Graha Adventure Rafting;Alam;4,6;Kabupaten Gianyar;1896;Rp350.000;Rp1.000.000;38
Bukit Asah Desa Bugbug;Alam;4,6;Kabupaten Karangasem;1892;Rp10.000;Rp10.000;73
Pura Melanting;Budaya;4,9;Kabupaten Buleleng;1884;Rp10.000;Rp10.000;135
Pantai Bias Tugel;Alam;4,5;Kabupaten Karangasem;1881;Rp5.000;Rp10.000;57
Lahangan Sweet;Alam;4,6;Kabupaten Karangasem;1878;Rp100.000;Rp100.000;94
Suwat Waterfall;Alam;4,6;Kabupaten Badung;1850;Rp40.000;Rp40.000;46
Pura Agung Pulaki;Budaya;4,7;Kabupaten Buleleng;1793;Rp5.000;Rp5.000;135
Taman Kota Ciung Wanara Gianyar;Rekreasi;4,5;Kabupaten Gianyar;1781;Rp0;Rp0;39
Taman Kupu-kupu Bali;Rekreasi;4,4;Kabupaten Badung;1780;Rp40.000;Rp100.000;41
Taman Janggan Renon Denpasar;Rekreasi;4,6;Kota Denpasar;1762;Rp0;Rp0;16
Lapangan Puputan Klungkung;Rekreasi;4,6;Kabupaten Klungkung;1761;Rp0;Rp0;44
Uma Pakel Agro Tourism & swing;Rekreasi;4,4;Kabupaten Gianyar;1735;Rp0;Rp0;48
Pantai Masceti;Alam;4,5;Kabupaten Gianyar;1720;Rp2.000;Rp5.000;34
Kubu Beach;Alam;4,5;Kabupaten Badung;1720;Rp200.000;Rp200.000;17
Pura Penataran Ped;Budaya;4,8;Kabupaten Klungkung;1697;Rp0;Rp0;40
Teluk Gamat;Alam;4,6;Kabupaten Klungkung;1675;Rp0;Rp0;88
Lapangan Lumintang;Rekreasi;4,4;Kota Denpasar;1671;Rp0;Rp0;18
Air Panas Penatahan;Rekreasi;4,1;Kabupaten Tabanan;1668;Rp20.000;Rp20.000;47
Taman Sari Waterfall & Natural Pool;Alam;4,7;Kabupaten Badung;1626;Rp25.000;Rp30.000;43
Sari Timbul;Alam;4,7;Kabupaten Gianyar;1622;Rp50.000;Rp100.000;57
"Rumah Pohon ""Tree House""";Alam;3,9;Kabupaten Klungkung;1614;Rp25.000;Rp25.000;93
Air Terjun Manuaba;Alam;4,8;Kabupaten Gianyar;1612;Rp30.000;Rp30.000;48
Paluang Cliff;Alam;4,6;Kabupaten Klungkung;1595;Rp30.000;Rp30.000;57
Taman Rama Shinta;Rekreasi;4,6;Kabupaten Badung;1578;Rp0;Rp0;29
Ekowisata Subak Sembung, Peguyangan;Alam;4,6;Kota Denpasar;1571;Rp2.000;Rp2.000;21
Taman Nusa;Rekreasi;4,3;Kabupaten Gianyar;1565;Rp50.000;Rp175.000;42
Istana Kepresidenan Tampaksiring Bali;Budaya;4,7;Kabupaten Gianyar;1544;Rp0;Rp0;55
Pura Batu Bolong ᬧᬸᬭ ᬩᬢᬸᬩᭀᬮᭀᬂ᭟;Budaya;4,6;Kabupaten Tabanan;1496;Rp30.000;Rp75.000;27
Taman Pujaan Bangsa Margarana;Rekreasi;4,7;Kabupaten Tabanan;1493;Rp0;Rp0;41
Kemenuh Butterfly Park, Bali;Rekreasi;4,5;Kabupaten Gianyar;1479;Rp100.000;Rp100.000;33
Museum Seni Agung Rai;Budaya;4,5;Kabupaten Gianyar;1464;Rp150.000;Rp150.000;35
Geger Beach;Alam;4,7;Kabupaten Badung;1456;Rp5.000;Rp5.000;15
Barong Dance Uma Dewi;Budaya;4,4;Kota Denpasar;1436;Rp150.000;Rp150.000;20
Gumuh Sari Rekreasi;Rekreasi;4,2;Kabupaten Badung;1434;Rp35.000;Rp35.000;25
Seseh Beach;Alam;4,6;Kabupaten Badung;1431;Rp5.000;Rp5.000;22
Museum Bung Karno;Budaya;4,8;Kota Denpasar;1403;Rp25.000;Rp25.000;16
Banyu Wana Amertha Waterfall;Alam;4,8;Kabupaten Buleleng;1397;Rp20.000;Rp25.000;77
Pura Mengening;Budaya;4,7;Kabupaten Gianyar;1387;Rp30.000;Rp70.000;53
Pantai Soka;Alam;4,2;Kabupaten Tabanan;1384;Rp5.000;Rp5.000;55
Taman Pecangakan - Negara;Rekreasi;4,5;Kabupaten Jembrana;1381;Rp0;Rp0;105
Pantai Keramas;Alam;4,5;Kabupaten Gianyar;1374;Rp5.000;Rp5.000;35
Air Panas Angseri;Alam;4,3;Kabupaten Tabanan;1370;Rp10.000;Rp30.000;56
Sumampan Waterfall;Alam;4,5;Kabupaten Gianyar;1367;Rp20.000;Rp20.000;36
Turtle Conservation And Education Center;Rekreasi;4,6;Kota Denpasar;1339;Rp0;Rp0;14
Obyek Wisata Bedugul;Alam;4,7;Kabupaten Badung;1338;Rp40.000;Rp50.000;64
Goa Rang Reng Waterfall;Alam;4,7;Kabupaten Gianyar;1338;Rp30.000;Rp30.000;42
Mertasari Beach;Alam;4,7;Kota Denpasar;1327;Rp0;Rp0;15
Keramas Park;Rekreasi;4,2;Kabupaten Gianyar;1324;Rp15.000;Rp25.000;35
Gedung Kesenian Dr. Ir. Soekarno;Budaya;4,4;Kabupaten Jembrana;1307;Rp0;Rp0;102
Nusa Gede;Alam;4,7;Kabupaten Badung;1298;Rp0;Rp0;14
Taman Inspirasi Mertasari;Rekreasi;4,4;Kota Denpasar;1277;Rp15.000;Rp15.000;14
Pantai Canggu;Alam;4,4;Kabupaten Badung;1237;Rp0;Rp0;20
Ubud Water Palace;Budaya;3,9;Kabupaten Gianyar;1231;Rp60.000;Rp60.000;37
Teletubbies Hill;Alam;4,1;Kabupaten Klungkung;1223;Rp0;Rp0;90
Mangrove Point;Alam;4,3;Kabupaten Klungkung;1214;Rp100.000;Rp100.000;85
Air Terjun Guyangan;Alam;4,3;Kabupaten Klungkung;1183;Rp5.000;Rp5.000;88
Kajeng Rice Field;Alam;4,6;Kabupaten Gianyar;1181;Rp0;Rp0;38
Tukad Bindu Park;Rekreasi;4,5;Kota Denpasar;1180;Rp10.000;Rp10.000;20
Japanese Ship Wreck Point;Alam;4,3;Kabupaten Karangasem;1176;Rp25.000;Rp25.000;101
Taman Agung Proklamasi;Rekreasi;5;Kota Denpasar;1174;Rp0;Rp0;16
Taman Bung Karno;Rekreasi;4,6;Kabupaten Buleleng;1157;Rp0;Rp0;91
Pura Puncak Penulisan;Budaya;4,7;Kabupaten Bangli;1129;Rp50.000;Rp50.000;84
Bayan Ancient Tree;Alam;4,8;Kabupaten Tabanan;1119;Rp5.000;Rp5.000;48
Goa Rajo Waterfall;Alam;4,8;Kabupaten Gianyar;1115;Rp25.000;Rp25.000;55
U Fun Field- Swing zipline & more;Rekreasi;4,6;Kabupaten Gianyar;1106;Rp100.000;Rp100.000;53
Bunut Bolong;Alam;4,5;Kota Denpasar;1106;Rp2.000;Rp5.000;87
Bali Exotic Marine Park;Rekreasi;4,5;Kota Denpasar;1105;Rp350.000;Rp350.000;8
Savana Tianyar;Alam;4,5;Kabupaten Karangasem;1102;Rp10.000;Rp10.000;89
Pantai Pasut;Alam;4,5;Kabupaten Tabanan;1093;Rp5.000;Rp5.000;37
Pura Jati Segara;Budaya;4,4;Kabupaten Bangli;1092;Rp25.000;Rp25.000;77
Lembongan Ocean Adventure;Alam;4,3;Kabupaten Klungkung;1090;Rp100.000;Rp100.000;42
Telaga Surya;Alam;4,6;Kabupaten Karangasem;1090;Rp15.000;Rp25.000;64
Banyuwedang Hot Spring;Alam;4,5;Kabupaten Buleleng;1089;Rp20.000;Rp95.000;148
Agung Jagatnatha Temple;Budaya;4,7;Kota Denpasar;1080;Rp20.000;Rp20.000;17
Vihara Dharmayana;Budaya;4,8;Kabupaten Badung;1076;Rp0;Rp0;5
Pantai Kerobokan Singaraja;Alam;4,4;Kabupaten Buleleng;1072;Rp0;Rp0;99
Air Terjun Munduk;Alam;4,5;Kabupaten Buleleng;1070;Rp20.000;Rp20.000;80
Alam Sambangan - The Secret Valley Club;Rekreasi;4,2;Kabupaten Buleleng;1061;Rp10.000;Rp10.000;93
Pantai Jemeluk;Alam;4,4;Kabupaten Karangasem;1059;Rp50.000;Rp50.000;99
Vihara Dharma Giri;Budaya;4,7;Kabupaten Tabanan;1040;Rp5.000;Rp5.000;77
Uma Anyar Waterfall;Alam;4,8;Kabupaten Gianyar;1038;Rp20.000;Rp25.000;35
Taman Gong Perdamaian Kertalangu;Rekreasi;4,3;Kota Denpasar;1037;Rp0;Rp0;21
Pura Kehen;Budaya;4,6;Kabupaten Bangli;1037;Rp25.000;Rp50.000;53
Virgin Beach;Alam;4,7;Kabupaten Karangasem;1028;Rp20.000;Rp20.000;73
Pemandian Air Panas Penatahan Kaja;Alam;4,2;Kabupaten Tabanan;991;Rp25.000;Rp25.000;50
Pura Samuan Tiga;Budaya;4,8;Kabupaten Gianyar;991;Rp5.000;Rp50.000;42
Pantai Muaya;Alam;4,5;Kabupaten Badung;968;Rp0;Rp0;9
Pantai Nyanyi;Alam;4,4;Kabupaten Badung;962;Rp0;Rp0;27
Pura Luhur Rambut Siwi;Budaya;4,7;Kabupaten Jembrana;960;Rp20.000;Rp20.000;87
PURA DASAR BUANA GELGEL;Budaya;4,8;Kabupaten Klungkung;933;Rp0;Rp0;43
Pantai Purnama ;Alam;4,3;Kabupaten Gianyar;928;Rp2.000;Rp2.000;29
Pantai Goa Lawah (Timur Pura - Rest Area);Alam;4,6;Kabupaten Klungkung;907;Rp2.000;Rp5.000;49
Puri Anom Tabanan;Budaya;4,8;Kabupaten Tabanan;907;Rp0;Rp0;35
Pura Ponjok Batu;Budaya;4,7;Kabupaten Buleleng;896;Rp0;Rp0;101
Bali Desa Swing;Rekreasi;4,9;Kabupaten Badung;1052;Rp200.000;Rp200.000;33
Monumen Puputan Klungkung;Budaya;4,7;Kabupaten Klungkung;876;Rp0;Rp0;44
Air Terjun Jembong, Ambengan;Alam;4,5;Kabupaten Buleleng;866;Rp10.000;Rp50.000;90
Danau Tamblingan;Alam;4,5;Kabupaten Buleleng;910;Rp10.000;Rp30.000;80
Ubud Rafting id;Rekreasi;4,7;Kabupaten Gianyar;866;Rp200.000;Rp200.000;36
Timbis Paragliding Bali;Alam;4,4;Kabupaten Badung;847;Rp800.000;Rp800.000;21
Tanah Lot Temple Square;Budaya;4,7;Kabupaten Tabanan;1111;Rp30.000;Rp30.000;28
Patung Buddha Tidur Pupuan Tabanan;Budaya;4,7;Kabupaten Tabanan;836;Rp10.000;Rp10.000;77
Pura Dalem Ubud;Budaya;4,6;Kabupaten Gianyar;840;Rp50.000;Rp100.000;37
Pura Tirta Sudamala;Budaya;4,7;Kabupaten Gianyar;814;Rp5.000;Rp5.000;50
Air Terjun Pengempu;Alam;4,2;Kabupaten Badung;830;Rp30.000;Rp30.000;38
Pemandian Air Panas Belulang;Alam;4,3;Kabupaten Tabanan;814;Rp5.000;Rp10.000;51
SEKUMPUL WATERFALL OFFICIAL (POST 1);Alam;4,5;Kabupaten Buleleng;926;Rp20.000;Rp20.000;87
Air Terjun Yeh Hoo;Alam;4,6;Kabupaten Badung;827;Rp5.000;Rp10.000;58
Pura Masceti;Budaya;4,2;Kabupaten Badung;780;Rp50.000;Rp50.000;13
Maha Gangga Valley;Alam;4,5;Kabupaten Karangasem;777;Rp75.000;Rp75.000;83
Bukit Jambul;Alam;4,5;Kabupaten Karangasem;787;Rp0;Rp0;51
Pantai Lipah;Alam;4,5;Kabupaten Karangasem;836;Rp0;Rp0;102
Gunung Kawi Tampaksiring;Alam;4,7;Kabupaten Gianyar;834;Rp75.000;Rp75.000;54
Puncak Indah Bedugul;Alam;4,6;Kabupaten Tabanan;746;Rp5.000;Rp5.000;64
Benoa Tirta Harum Dive & Watersport;Rekreasi;4,4;Kabupaten Badung;738;Rp5.000;Rp5.000;13
Pantai Candidasa;Alam;4,4;Kabupaten Karangasem;737;Rp0;Rp0;64
Puri Agung Karangasem;Budaya;4,5;Kabupaten Karangasem;747;Rp35.000;Rp35.000;79
Cocoa Land Bali;Rekreasi;4,6;Kabupaten Tabanan;783;Rp75.000;Rp115.000;49
Pura Sakenan;Budaya;4,7;Kota Denpasar;740;Rp5.000;Rp5.000;12
Pura Taman Pecampuhan Sala;Alam;4,7;Kabupaten Bangli;750;Rp5.000;Rp5.000;50
Lovina Dolphin Watching;Alam;4,7;Kabupaten Buleleng;780;Rp150.000;Rp200.000;92
Blangsinga Waterfall;Alam;4,6;Kabupaten Gianyar;744;Rp30.000;Rp30.000;34
Pantai Medewi;Alam;4,5;Kabupaten Jembrana;722;Rp0;Rp0;81
Patung Catur Muka Denpasar;Budaya;4,7;Kota Denpasar;750;Rp0;Rp0;16
Taman Puspem Badung;Rekreasi;4,7;Kabupaten Badung;788;Rp0;Rp0;21
Cemagi Beach;Alam;4,7;Kabupaten Badung;776;Rp0;Rp0;25
Teluk Gilimanuk;Alam;4,6;Kabupaten Jembrana;798;Rp3.000;Rp3.000;137
Honeymoon Beach;Alam;4,4;Kabupaten Badung;776;Rp0;Rp0;14
Canggu beach;Alam;4,4;Kabupaten Badung;1274;Rp0;Rp0;21
Pandora Experience Escape Room Bali;Rekreasi;4,7;Kabupaten Badung;712;Rp250.000;Rp250.000;8
Wisata Tirta Srinadi;Rekreasi;4;Kabupaten Klungkung;702;Rp15.000;Rp15.000;44
waterboom sidembunut;Rekreasi;4,3;Kabupaten Badung;696;Rp30.000;Rp30.000;54
Aquaman Snorkeling Trip;Alam;4,9;Kabupaten Klungkung;566;Rp300.000;Rp300.000;40
